,User,Skills
3121,3121,"['marketing', 'executive,sales,direct', 'marketing,promotions,selling,branding', 'it', 'skills', 'details', 'marketing', 'budget,retail', 'marketing,industrial', 'marketing,strategic', 'marketing,marketing', 'strategy,sales', 'executive', 'activities,developing', 'marketing', 'strategies,business', 'development,product', 'promotion,travel', 'sales']"
3122,3122,"['customer', 'service,customer', 'handling,', 'sales', 'freight', 'forwarding,service', 'sales,logistics,customer', 'relationship,shipping,shipment,project', 'sales,sales', 'executive', 'activities']"
3123,3123,"['purchase,logistics', 'and', 'sales', 'in', 'overseas', 'operations', 'it', 'skills', 'details', 'purchase', 'management,sales', 'management,logistics', 'operations,business', 'development', 'management,purchase', 'planning,operations', 'management,marketing', 'management,new', 'vendor', 'development,export', 'documentation,shipping']"
3124,3124,"['marketing,', 'demand', 'generation,', 'distribution', 'channel', 'handling', 'and', 'sales', 'marketing', 'management,channel', 'distribution,distributor', 'handling,distributor', 'sales,fmcg', 'marketing,team', 'handling,customer', 'marketing,product', 'marketing,internet', 'marketing,relationship', 'marketing']"
3125,3125,"['business', 'development,pre', 'sales,key', 'accounts', 'management,lead', 'generation,client', 'retention,corporate', 'sales,b2b', 'lead', 'generation,cold', 'calling,email', 'marketing,event', 'management,b2b,new', 'client', 'acquisition,b2b', 'marketing,inside', 'sales', 'it', 'skills', 'details', 'team', 'management,b2b', 'sales,client', 'servicing,lead', 'management,b2c,market', 'research,email', 'campaign,account', 'development']"
3126,3126,"['gm-business', 'development,head/vp/gm/national', 'mgr,sales', 'management,marketing', 'management,business', 'development,purchase', 'management,strategic', 'planning,client', 'relationship', 'management,client', 'retention,training', '&', 'development,key', 'account', 'management,brand', 'mgmt', 'it', 'skills', 'details', 'team', 'management,brand', 'management,strategic', 'market', 'planning,product', 'promotion,marketing', 'initiatives,account', 'relationship', 'management,strategic', 'marketing', 'planning,sales', 'strategy,strategic', 'account', 'management,marketing', 'strategy']"
3127,3127,"['reinsurance,insurance', 'operations,finance', 'analyst,accounts', 'manager,finance,taxation,accounts', 'finalisation,auditing,general', 'accounting,budgetary', 'analysis,accounts', 'payable,balance', 'sheet', 'finalisation,us', 'accounting,balance', 'sheet,budgeting', 'it', 'skills', 'details', 'general', 'ledger', 'accounting,corporate', 'finance,financial', 'management,financial', 'analysis,preparing', 'financial', 'statements,financial', 'accounting,financial', 'reporting,management', 'accounting,financial', 'planning,trial', 'balance']"
3128,3128,"['taxation,auditing,accounting,finance(ifrs)', 'it', 'skills', 'details', 'financial', 'accounting,financial', 'auditing,finance', 'control,indirect', 'taxation,chartered', 'accountant,direct', 'tax,company', 'audit,tax', 'returns,bank', 'audit,statutory', 'audit']"
3129,3129,"['finance', 'and', 'accounts,', 'taxation,', 'audit,', 'inventory', 'management,', 'team', 'management,', 'mis', 'preparation', 'it', 'skills', 'details', 'management', 'accounting,financial', 'auditing,corporate', 'finance,indirect', 'taxation,chartered', 'accountant,financial', 'management,tax', 'returns,direct', 'tax,company', 'audit,tax', 'management']"
3130,3130,"['work', 'from', 'home,channel', 'management,channel', 'partner', 'management,pre', 'sales,inside', 'sales,marketing', 'research,digital', 'marketing,seo,online', 'marketing,business', 'development,b2b,corporate', 'sales,market', 'counselor', 'it', 'skills', 'details', 'marketing', 'management,strategic', 'marketing,branding,marketing', 'strategy,lead', 'generation,market', 'research,market', 'identification,brand', 'building,software', 'sales,distribution', 'development']"
3131,3131,"['institutional', 'sales,', 'industrial', 'marketing,', 'financial', 'analysis(tally9.1)', 'budgeting,', 'cold', 'calling,industrial', 'marketing,financial', 'analysis(tally9.1)', 'budgeting,team', 'management.,inside', 'sales', 'it', 'skills', 'details', 'finance,marketing', 'analysis,marketing', 'campaigns,email', 'marketing,team', 'leading,online', 'lead', 'generation,online', 'marketing,marketing', 'operations,web', 'marketing,business', 'planning']"
3132,3132,"['direct', 'marketing,', 'marketing', 'communication,', 'sales', 'and', 'business', 'devolepment,', 'advertising,', 'analytics,', 'technology', 'sales.', 'lead', 'generation', ',', 'content', 'syndication', 'it', 'skills', 'details', 'new', 'business', 'development,technology', 'marketing,cold', 'calling,retail', 'marketing,new', 'market', 'development,inside', 'sales,branding']"
3133,3133,"['marketing', 'skills,leadership', 'skills,communication', 'skills,lead', 'generation,market', 'researcher,market', 'research,cold', 'calling,inside', 'sales,demand', 'generation,email', 'marketing,business', 'development', 'sales', 'lead', 'generation,lead', 'qualification,it', 'marketing,strategic', 'marketing,marketing', 'strategy,market', 'study']"
3134,3134,"['ms-office,', 'sap', '15', 'days', 'training', 'by', 'delphi', 'computech.', 'it', 'skills', 'details', 'business', 'development,b2b', 'marketing,training', 'management,performance', 'appraisal', 'system,train', 'the', 'trainer,sales', 'lead', 'generation,b2b', 'sales,placement,international', 'sales,hr']"
3135,3135,"['bdm,', 'presales,', 'it', 'sales,', 'website', 'sales,', 'b2b', 'sales,', 'rfp,', 'rfi,', 'rfq,', 'presales,', 'proposal', 'management,', 'software', 'solution', 'sales,', 'cold', 'calling,inside', 'sales,', 'international', 'sales,', 'digital', 'sales,', 'software', 'services,', 'cloud', 'computing,', 'e-commerce,', 'inside', 'sales', 'business', 'development', 'management,software', 'solutions,project', 'management,marketing,client', 'relationship', 'management,team', 'management,sales', 'management,it', 'management,area', 'sales,sales', 'planning']"
3136,3136,"['commercial,provisioning,bank', 'reconciliation,credit', 'note,debit', 'note,service', 'tax,vendor', 'payments,sales', 'tax,tds,accounts', 'payable,accounts', 'receivable,sap,maintain', 'security', '&', 'b.g.,erp', 'navision,tally', 'erp,fact,customer/vendor', 'creation', 'in', 'sap,credit', 'control', 'it', 'skills', 'details', 'accounting', 'software,finance,taxation,auditing,payables,general', 'accounting,ms', 'office,sap', 'production', 'planning,branch', 'accounting,creditors', 'reconciliation']"
3137,3137,"['corporate', 'sales,', 'b2b', 'marketing,', 'online', 'marketing,', 'online', 'sales.', 'marketing', 'management,space', 'selling,space', 'marketing,service', 'marketing,brand', 'management,sales', 'executive', 'activities,concept', 'selling,online', 'lead', 'generation,concept', 'marketing,lead', 'management']"
3138,3138,"['internal', 'audit,accounting,finance,statutory', 'compliance,statutory', 'audit,external', 'audit,accounts', 'payable,accounts', 'receivable,gl', 'accounting,balance', 'sheet', 'review,accounts', 'reconciliation,tds,profession', 'tax,provident', 'fund,esi', 'returns,central', 'it', 'skills', 'details', 'financial', 'accounting,financial', 'auditing,taxation,audit', 'management,internal', 'control', 'review,financial', 'management,financial', 'statements,tax', 'returns,professional', 'tax,ca']"
3139,3139,"['accounts,', 'income', 'tax', 'matters,', 'sales', 'tax', 'matters', 'etc.', 'international', 'accounting,finance', 'control,corporate', 'taxation,service', 'tax', 'report,financial', 'auditing,tax', 'returns,financial', 'management,funds', 'flow', 'management,payable', 'management,management', 'accounting']"
3140,3140,"['channel', 'sales,', 'it', 'skills', 'details', 'business', 'development', 'management,channel', 'development,channel', 'management,sales', 'management,business', 'networking,market', 'penetration,sales', 'development,crm', 'sales,new', 'business,marketing', 'management']"
3141,3141,"['sales,', 'customer', 'handaling,ms-office,sound', 'knowledge', 'of', 'internet', '&', 'research', 'tools,planning,team', 'management', 'customer', 'service,customer', 'handling,business', 'development', 'management,customer', 'experience', 'management,sales', 'development,customer', 'relationship,account', 'development,customer', 'satisfaction,team', 'handling,inhouse', 'sales']"
3142,3142,"['1.', 'strong', 'in', 'account', 'management.', '2', 'understanding', 'customers', 'requirement', 'and', 'get', 'business', 'done.', '3', 'maintain', 'healthy', 'relationships', 'with', 'customers.4', 'team', 'working', 'business', 'development,marketing', 'management,area', 'sales', 'management,enterprise', 'sales,solution', 'sales,product', 'sales,management', 'accounting,product', 'promotion,market', 'expansion,dealing']"
3143,3143,"['capital', 'modular', 'xc,capital', 'harness', 'xc,capital', 'logic,pro-e', 'diagram', 'and', 'cabling,familiar', 'to', 'capital', 'integrator,autocad,schematic', 'designs,development', 'of', 'wiring', 'harness,cable', 'schedule,routing', 'of', 'harness,lighting', 'design,design', 'engineering', 'it', 'skills', 'details', 'electrical', 'harness,cables,electrical', 'design,harness', 'design,assembly', 'design,automotive', 'design,new', 'product', 'design,project', 'management,creo,electricals']"
3144,3144,"['sales,', 'selling,', 'marketing,', 'business', 'development,', 'corporate', 'sales,', 'b2b', 'sales,', 'space', 'selling,', 'concept', 'selling,', 'corporate', 'selling,', 'lead', 'generation,', 'inside', 'sales,', 'cold', 'calling,', 'it', 'sales,', 'key', 'account', 'management,', 'enterprise', 'sales,', 'key', 'accounts,', 'retail', 'sale']"
3145,3145,"['recruitment,lateral', 'hiring,employee', 'engagement,offer', 'generation,hr,joining', 'formalities,induction', 'program,onboarding,performance', 'management', 'system,workday,peoplesoft', 'recruitment', 'management,hr', 'generalist', 'activities,exit', 'interviews,exit', 'process,talent', 'acquisition,employee', 'induction,employee', 'retention,hr', 'operations,senior', 'hr,employee', 'relations']"
3146,3146,"['it', 'recruitment,', 'screening,', 'interviewing', 'candidates,', 'sourcing,', 'talent', 'acquisition,', 'bulk', 'hiring,', 'recruitment', 'management,', 'lateral', 'hiring,', 'campus', 'recruitment,', 'interview', 'coordination,', 'head', 'hunting,', 'joining', 'formalities,', 'hr', 'generalist', 'activities,', 'it', 'skills', 'details', 'technical', 'recruitment,sourcing', 'profiles,campus', 'hiring,job', 'posting,shortlisting,salary', 'negotiation,human', 'resource', 'management,training,contract', 'staffing']"
3147,3147,"['lateral', 'hiring,', 'recruitment,', 'screening,', 'non', 'it', 'recruitment,', 'talent', 'acquisition,', 'talent', 'sourcing,', 'head', 'hunting,', 'shortlisting,', 'job', 'posting,', 'corporate', 'hr,', 'corporate', 'recruitment,recruitment', 'consulting,freelance', 'recruitment,it', 'hiring,recruitment', 'management,executive', 'hiring,campus', 'hiring,senior', 'hr']"
3148,3148,"['bulk', 'hiring,', 'lateral', 'hiring,', 'campus', 'hiring,', 'recruitment,interviewing', 'candidates,', 'joining', 'formalities,', 'campus', 'interviews,', 'vendor', 'development,', 'talent', 'acquisition,', 'volume', 'hiring,', 'mass', 'recruitment,', 'client', 'servicing,', 'it', 'recruitment,', 'recruitment', 'management', 'senior', 'hr,sourcing,job', 'posting']"
3149,3149,"['excel,vba,sql,macros,vlookup,pivot', 'table,ms', 'access', 'it', 'skills', 'details', 'advanced', 'excel,hlookup,data', 'validation,ms', 'office', 'outlook,microsoft', 'office', 'access,data', 'analysis']"
3150,3150,"['communication,end', 'to', 'end', 'recruitment,bulk', 'hiring,hr,hr', 'executive,mass', 'hiring,bpo', 'hiring,volume', 'hiring,executive', 'hiring,screening,sourcing', 'profiles,shortlisting,talent', 'acquisition,executive', 'search,staffing,lateral', 'hiring', 'it', 'skills', 'details', 'it', 'recruitment,bpo', 'recruitment,recruitment', 'management,ites', 'recruitment,interviewing', 'candidates,campus', 'recruitment,human', 'resource', 'management,campus', 'interviews,interview', 'coordination']"
3151,3151,"['base', 'sas,', 'advanced', 'sas,', 'sas', 'sql,', 'proc', 'sql,report,summary,freq,', 'macros,', 'excel,vba', 'macros,', 'dashboards,', 'pivot,spss,', 'qlikview,senior', 'sas', 'analyst,', 'business', 'analyst,', 'business', 'analysis,', 'business', 'analytics,', 'data', 'analytics,', 'mis', 'reporting,', 'it', 'skills', 'details', 'sas', 'macros,data', 'analysis,business', 'intelligence']"
3152,3152,"['databases', '(oracle,', 'ms', 'sql', 'server,teradata),', 'sas', '9.3,', 'unix,', 'software', 'testing,ui', 'testing,', 'excel', 'vba', 'macros,sdlc,', 'etl', 'testing,', 'dataware', 'housing,', 'qtp,', 'quality', 'center,', 'jira,', 'manual', 'testing,', 'testlink,', 'test', 'management', 'tool,', 'it', 'skills', 'details', 'functional', 'testing,automation', 'testing,regression', 'testing,database', 'testing,qc,black', 'box', 'testing,interface', 'testing,smoke', 'testing,data', 'warehouse', 'testing,quality', 'assurance']"
3153,3153,"['human', 'resource,lateral', 'hiring,it', 'recruitment,talent', 'acquisition,hr', 'recruiter,hiring,bulk', 'hiring,lateral', 'hiring,recruitment', 'specialist,hirecraft,end', 'to', 'end', 'recruitment,recruitment', 'tool,super', 'niche', 'hiring,linkedin', 'hiring,recruiter', 'it', 'skills', 'details', 'corporate', 'hr,leadership', 'hiring,hr', 'coordination,hr', 'planning,sourcing,hr', 'consulting,hr', 'processes,senior', 'level']"
3154,3154,"['digital', 'marketing,social', 'media', 'marketing,online', 'marketing,website', 'analysis,google', 'adwords,ppc,sem,content', 'marketing,seo,digital', 'strategy,crm,lead', 'generation,google', 'analytics,e-commerce,vendor', 'management,budget', 'management,email', 'marketing', 'it', 'skills', 'details', 'business', 'development,affiliate', 'marketing,web', 'marketing,search', 'engine', 'marketing,online', 'lead', 'generation,internet', 'marketing,web', 'promotion,database', 'marketing,crm', 'management,website', 'promotion']"
3155,3155,"['recruitment', ',', 'sourcing', ',end', 'to', 'end', 'recruitment.bulk', 'hiring,', 'mass', 'hiring', ',', 'end', 'to', 'end', 'recruitment', '.build', 'and', 'implement', 'a', 'recruitment', 'strategy.talent', 'management', ',talent', 'acquisition', ',vender', 'management', 'be', 'a', 'thought', 'leader', 'on', 'recruitment', 'matte', 'it', 'skills', 'details', 'recruitment', 'management,senior', 'hr,leadership', 'hiring,talent', 'sourcing,screening,shortlisting,human', 'resource', 'management,senior', 'level,vendor', 'management,lead', 'management']"
3156,3156,"['end', 'to', 'end', 'recruitment,', 'employee', 'engagement,on', 'boarding,', 'talent', 'acquisition,', 'lateral', 'hiring,', 'bulk', 'hiring,', 'it', 'recruitment,', 'employee', 'communication,induction,', 'employee', 'relations,head', 'hunting,', 'screening,', 'team', 'handling,', 'human', 'resource', 'management,', 'it', 'skills', 'details', 'non', 'it', 'recruitment,hr', 'generalist', 'activities,senior', 'hr,it', 'hiring,mass', 'recruitment,campus', 'hiring,hr', 'operations,talent', 'sourcing,recruitment', 'management,employee', 'grievances']"
3157,3157,"['management', 'consulting,strategy', 'consulting,customer', 'experience', 'management,it', 'strategy,digital', 'strategy,presales,sales', 'support,business', 'case', 'development,it', 'consulting,project', 'management,digital', 'marketing', 'business', 'development', 'management,business', 'consulting,program', 'management,social', 'media', 'marketing,product', 'management,digital', 'sales,web', 'marketing,business', 'strategy,strategic', 'planning,content', 'marketing']"
3158,3158,"['asp.net,c#.net,ado.net,vb.net,sql', 'server,mvc,javascript.', 'it', 'skills', 'details', 'asp.net', 'ajax,asp.net', 'mvc,wcf,software', 'development']"
3159,3159,"['marketing', 'manager,', 'media', 'planning,', 'trade', 'marketing,', 'brand', 'management,', 'visual', 'merchandising,', 'project', 'management,', 'btl', 'and', 'activations,', 'retail', 'fabrication,', 'digital', 'marketing', 'manager,', 'social', 'media', 'marketing,', 'online', 'marketing,', 'sem,', 'web', 'marketing,business', 'development,mobile', 'marketing,brand', 'marketing,brand', 'campaigns,brand', 'strategy,btl', 'activation,brand', 'activation,marketing', 'budget,brand', 'communication']"
3160,3160,"['talent', 'acquisition,', 'bulk', 'hiring,', 'sourcing', 'and', 'staffing,', 'hr', 'generalist,', 'end', 'to', 'end', 'recruitment', 'in', 'bfsi,', 'bpo,', 'kpo,l', 'lateral', 'hiring.', 'hr', 'recruiter,', 'volume', 'hiring,igerman', 'language', 'expert.,german', 'language', 'expert,', 'business', 'hr', 'support,', 'onboarding,i', 'nduction', 'bfsi', 'recruitment,human', 'resource', 'management,employee', 'engagement,senior', 'hr,sourcing', 'profiles,employee', 'induction,technical', 'recruitment,campus', 'recruitment,mass', 'hiring,recruitment', 'management']"
3161,3161,"[""'digital"", ""marketing';"", ""'market"", ""research';"", ""'online"", 'reputation', '&', ""response';"", ""'conceptualizing"", 'product/brand', ""campaigns';"", ""'lead"", ""generation';"", ""'web,"", 'wap', '&', 'app', ""traffic';"", ""'social"", ""media';"", ""'on-ground"", 'digital', ""engagement';"", ""'content"", ""monetization';"", 'strategic', 'alliance', 'it', 'skills', 'details', 'marketing', 'management,content', 'marketing,affiliate', 'marketing,online', 'marketing,web', 'marketing,marketing', 'campaigns,marketing', 'analysis,online', 'branding,business', 'development', 'management,strategic', 'brand', 'management']"
3162,3162,"['digital', 'marketing,online', 'marketing,product', 'management,product', 'marketing,strategic', 'planning', 'and', 'execution,seo,sem,website', 'development,digital', 'strategy,email', 'marketing,social', 'media', 'marketing,ux', 'planning,ux', 'design.,digital', 'transformation', 'affiliate', 'marketing,web', 'marketing,online', 'branding,mobile', 'marketing,content', 'marketing,business', 'development,internet', 'marketing,digital', 'branding,offline', 'marketing,online', 'advertising']"
3163,3163,"['marketing', 'strategy,', 'online', 'marketing,', 'digital', 'marketing,', 'it', 'skills', 'details', 'business', 'development,affiliate', 'marketing,content', 'marketing,email', 'marketing,online', 'branding,adwords,strategic', 'marketing', 'planning,digital', 'strategy,seo,marketing', 'management']"
3164,3164,"['online', 'marketing,', 'internet', 'marketing,', 'digital', 'marketing,', 'search', 'engine', 'marketing,', 'seo,', 'search', 'engine,', 'fbx,', 'search', 'engine', 'optimizer,', 'ppc,', 'pay', 'per', 'click,', 'social', 'media,', 'facebook,', 'b2b,', 'google', 'adwords,', 'google,', 'yahoo,', 'msn,', 'facebook', 'exchange,', 'remarketing', 'it', 'skills', 'details', 'web', 'marketing,sem,yahoo', 'search', 'marketing,web', 'promotion,google', 'analytics,affiliate', 'marketing,facebook', 'marketing,internet', 'advertising,online', 'advertising,campaign', 'management']"
3165,3165,"['writing/editing,', 'seo,', 'smo,', 'smm,', 'digital', 'marketing,', 'online', 'branding,', 'search', 'engine', 'marketing,social', 'media', 'marketing,social', 'media', 'optimization,content', 'marketing,web', 'marketing,search', 'engine', 'optimization,content', 'optimization,web', 'promotion,website', 'promotion,sem']"
3166,3166,"['communication', 'skillsteamwork', 'and', 'interpersonal', 'skills', 'leadershipresearch,', 'analysis', 'and', 'problem', 'solvingtime', 'management', 'and', 'organisationit', 'skillsexcellent', 'customer', 'service', 'skills', 'strong', 'understanding', 'of', 'numerical', 'data,', 'statistics', 'and', 'graphs', 'digital', 'marketing,business', 'development,online', 'marketing,change', 'management,problem', 'management,web', 'marketing,market', 'research,social', 'media', 'marketing,brand', 'management,project', 'management']"
3167,3167,"['vendor', 'management,recriutment,bulk', 'hiring,working', 'on', 'job', 'sides,internet', 'recruitment.', 'campus', 'recruitment,hr', 'planning,lateral', 'hiring,interviewing', 'candidates,employee', 'screening,interview', 'coordination,recruitment', 'management,recruitment', 'consulting,hr', 'coordination,talent', 'acquisition']"
3168,3168,"['hr', 'generalist,inhouse', 'recruitment,vendor', 'management,corporate', 'hr,bulk', 'hiring,lateral', 'hiring', 'it', 'skills', 'details', 'campus', 'recruitment,talent', 'acquisition,joining', 'formalities,human', 'resource', 'management,executive', 'hiring,induction', 'program,employee', 'engagement,exit', 'interviews,manpower', 'sourcing,employee', 'induction']"
3169,3169,"['ms', 'access,advanced', 'excel,vba', 'macro,sql,openoffice', 'calc', 'it', 'skills', 'details', 'macros,data', 'analysis,oracle', 'reports,business', 'analysis,lookup,hlookup,vlookup,pivot', 'table,excel', 'powerpoint,ms', 'office']"
3170,3170,"['advanced', 'excel,', 'vlookup,', 'sumif,', 'pivot', 'table,', 'vba,', 'macros,', 'sql,', 'ms', 'access', 'it', 'skills', 'details', 'ms', 'office,microsoft', 'office', 'access,formulas']"
3171,3171,"['sql', 'server,', 'ssrs,', 'ssis,', 'ssas,', 't-sql,', 'etl,pl/sql,power', 'bi,', 'mdx,', 'dax,vba,', 'cube,', 'excel,', 'it', 'skills', 'details', 'msbi,data', 'warehousing,data', 'transformation', 'services']"
3172,3172,"['oracle', '10g,,oracle', '11i,plsql,sql', 'server,linux,advanced', 'excel,teradata,dataware', 'housing,my', 'sql,data', 'associate,excel,sql,database', 'support', 'engineer,l1', 'support', 'engineer', 'it', 'skills', 'details', 'oracle', 'sql,teradata', 'sql,oracle', 'pl,data', 'warehousing,oracle', 'rdbms']"
3173,3173,"['orcale', 'sql,plsql', ',sql', 'server,', 'ssis,', 'ssrs,', 'supply', 'chain', 'management,', 'data', 'science,', 'oracle', 'sql', 'developer,', 'oracle', '10g,', 'sql', 'development,', 'data', 'warehousing,', 'etl,', 'data', 'integration,', 'data', 'architecture,', 'database', 'planning,', 'optimization,', 'it', 'skills', 'details', 'sql', 'tuning,oracle', 'development,oracle', 'reports,oracle', 'forms,unix,reports', '10g,oracle', 'pl,software', 'development,oracle', 'apps,oracle', '11g']"
3174,3174,"['accounts', 'mgr,cash', 'flow', 'statement,budget', 'analysis,creditors', 'reconciliation,variance', 'analysis,accounts', 'receivables/accounts', 'payable,general', 'ledger,taxation,bank', 'reconciliation,audit', 'compliance,reporting', '&', 'mis', 'it', 'skills', 'details', 'intercompany', 'accounting,finance,financial', 'auditing,expense', 'analysis,mis', 'reporting,internal', 'audit,financial', 'reporting,financial', 'analysis,budgeting,management', 'reporting']"
3175,3175,"['it', '&', 'bpo', 'recruitments,bulk', 'hiring,performance', 'appraisal,employee', 'engagement,employee', 'relations,hris', 'hr', 'generalist', 'activities,employee', 'retention,employee', 'grievances,employee', 'communication,hr', 'policies,it', 'recruitment,employee', 'orientation,induction,hr', 'operations,volume', 'hiring']"
3176,3176,"['digital', 'marketing,media', 'planning,', 'ppc,seo,', 'facebook,', 'twitter,', 'content', 'marketing,', 'digital', 'marketing,', 'search', 'marketing,', 'it', 'skills', 'details', 'sem,smo,search', 'engine', 'marketing,online', 'marketing,email', 'marketing,google', 'analytics,online', 'branding,pay', 'per', 'click,web', 'promotion,media', 'buying']"
3177,3177,"['c,c++,core', 'java,auto', 'cad', '2006,catia', 'v5,microsoft,excel,word,vba,sql,advanced', 'excel,plsql,ms', 'office,pivot', 'table,powerpoint,internet', 'explorer,office', 'package,macros,logistic', 'regression,c', 'it', 'skills', 'details', 'autocad,sql', 'loader,adobe', 'professional,base', 'sas,oracle', 'reports,data', 'analysis,advanced', 'java,oracle', 'sql,engineering', 'analysis,business', 'analysis']"
3178,3178,"['sql', 'developer,plsql', 'developer,informatica', 'power', 'center,python,pipeline', 'pilot,', 'informatica', 'data', 'service,universe', 'designer,web', 'intelligence,unix', 'shell', 'scripting,ibm', 'cognos,tableau,performance', 'tuning,data', 'warehousing,business', 'intelligence', 'it', 'skills', 'details', 'sql', 'coding,oracle', 'development,data', 'integration,etl', 'tool,data', 'modeling,cognos', 'bi,oracle', 'sql,sap', 'bo,spotfire,sql', 'server']"
3179,3179,"['markit', 'edm,', 'pl-sql,', 'shell', 'script,', 'uft,', 'vba,', 'c,', 'sql', 'server,', 'mysql,', 'matlab,', 'multisim,', 'it', 'skills', 'details', 'plsql,software', 'engineering,oracle', 'sql,unix', 'shell', 'scripting,windows', 'forms,software', 'development,etl', 'testing,oracle', '9i,toad,oracle', '11g']"
3180,3180,"['us', 'healthcare,', 'medical', 'billing,', 'java,', 'j2ee,', 'spring,', 'hibernate,', 'jsp,', 'servlets,', 'apache', 'tomcat,', 'eclipse,', 'xml,', 'html,', 'it', 'skills', 'details', 'core', 'java,jsp', 'servlets,javascript,java', 'beans,eclipse', 'ide,software', 'development,soap,java', 'ee,java', 'servlets,sql']"
3181,3181,"['bulk', 'hiring,hr,recruitment,selection,head', 'hunting,team', 'leading,team', 'handling,mis', 'preparation', 'recruitment', 'management,hr', 'coordination,recruitment', 'consulting,human', 'resource', 'management,hr', 'policies,business', 'hr,hr', 'administration,hr', 'consulting,job', 'posting,hr', 'processes']"
3182,3182,"['excel,macros,ms', 'access,sql,vba', 'it', 'skills', 'details', 'sql', 'development,microsoft', 'office', 'access,ms', 'office', 'outlook,vlookup,data', 'analysis,windows,development', 'management,application', 'software']"
3183,3183,"['lateral', 'recruitment', 'it', 'skills', 'details', 'bfsi', 'recruitment,business', 'hr,human', 'resource', 'management,campus', 'recruitment,recruitment', 'management,sales', 'hiring,hr', 'coordination,hr', 'processes,hr', 'operations,hr', 'mis']"
3184,3184,"['hr,', 'human', 'resource,', 'recruitment,', 'non-it', 'recruitment,', 'manufacturing', 'recruitment,', 'talent', 'acquisition,', 'staffing,', 'consulting,', 'volume', 'hiring,', 'lateral', 'hiring,', 'screening,', 'sourcing,', 'recruiter,', 'technical', 'recruitment,', 'engineering', 'recruitment', 'non', 'it', 'recruitment,senior', 'hr,sourcing', 'profiles,interviewing', 'candidates,talent', 'sourcing,recruitment', 'management,selection', 'process,hr', 'mba,hr', 'processes,hr', 'development']"
3185,3185,"['recruitment,', ',', 'bulk', 'hiring,', 'hr', 'generalist', 'activities,', 'it', 'skills', 'details', 'recruitment', 'management,hr', 'operations,employee', 'engagement,offer', 'generation,employee', 'grievances,hr', 'policies,human', 'resource', 'management,employee', 'relations,attendance', 'management,selection', 'process']"
3186,3186,"['core', 'it', 'recruiter,recruitment,compensation,performance', 'appraisal,induction,employee', 'engagement,employee', 'grievances,training', '&', 'development', 'it', 'recruitment,hr', 'generalist', 'activities,campus', 'recruitment,recruitment', 'consulting,campus', 'hiring,recruitment', 'management,international', 'recruitment,hr', 'planning,human', 'resource', 'management,hr', 'coordination']"
3187,3187,"['brand', 'management,', 'marketing', 'communication,', 'brand', 'marketing,', 'brand', 'campaigns,', 'marketing', 'management,', 'marketing', 'manager,', 'integrated', 'marketing', 'communication,', 'strategic', 'brand', 'management,', 'brand', 'manager,', 'brand', 'positioning,', 'brand', 'strategy,', 'offline', 'marketing', 'it', 'skills', 'details', 'digital', 'marketing,business', 'development,branding,btl,brand', 'communication,atl,media', 'planning,market', 'research,online', 'marketing,brand', 'planning']"
3188,3188,"['recruitment,talent', 'acquisition,volume', 'hiring,bulk', 'hiring,mass', 'hiring,hr,joining', 'formalities,exit', 'formalities,induction,onboarding,background', 'verification,mis', 'updation,lateral', 'hiring,vendor', 'managememt', 'recruitment', 'management,senior', 'hr,leadership', 'hiring,human', 'resource', 'management,sourcing', 'profiles,shortlisting,hr', 'reporting,vendor', 'management,referencing']"
3189,3189,"['excel,vba,macros,sql', 'it', 'skills', 'details', 'excel', 'powerpoint,process', 'training,train', 'the', 'trainer,computer', 'science,ms', 'office', 'word,ms', 'access,ms', 'office', 'powerpoint,formulas,hlookup']"
3190,3190,"['human', 'resources,recruiter', '""', 'it', 'recruitment']"
3191,3191,"['excel,', 'vba,', 'vb', 'script,', 'sql,', 'mis', 'reporting,', 'vba', 'macros,', 'lookups,', 'pivot', 'tables,', 'key', 'account', 'management,', 'online', 'marketing,', 'b2b', 'sales,', 'cataloging,', 'pricing,', 'inventory', 'replenishment,', 'data', 'analysis,', 'data', 'collection,', 'excel,', 'pivot', 'table,', 'vlookup,', 'it', 'skills', 'details', 'key', 'accounts,sql', 'server,advanced', 'excel,business', 'development,html,qtp,data', 'validation']"
3192,3192,"['vba,advanced', 'excel,macros,sql', 'server,excel,hlookup,vlookup,pivot,ms', 'access', 'data', 'validation,conditional', 'formatting,data', 'analysis,software', 'development,software', 'engineering']"
3193,3193,"['advanced', 'excel,vlookup,match,pivot', 'table,data', 'consolidate,conditional', 'formatting,data', 'integration,data', 'validation,mis,data', 'analysis,data', 'mining,data', 'migration,charts,macros,vba,sql,ms', 'access,data', 'cleansing,mis', 'executive', 'it', 'skills', 'details', 'business', 'analysis,ms', 'office', 'powerpoint,data', 'management,microsoft', 'office', 'access,data', 'manipulation,mis', 'reporting,statistical', 'analysis,ms', 'office', 'word,ms', 'office', 'outlook']"
3194,3194,"['tableau,market', 'research,retail,fmcg,sas,sql,r,regression,forecasting,spss,excel,vlookup,macros,vba,sas', 'programming,sas', 'sql,base', 'sas,logistic', 'regression,cluster', 'analysis,stratified', 'sampling,time', 'series,arima,ms', 'access,visual', 'foxpro', 'it', 'skills', 'details', 'linear', 'regression,factor', 'analysis,regression', 'analysis,business', 'analysis,data', 'analysis']"
