,User,Skills
11,11,"['php,', 'ajax,', 'html,', 'css,angularjs,', 'javascript,', 'json,mysql,java,zend,', 'yii,', 'wordpress', 'cms,', 'photoshop,', 'corel', 'draw,', 'business', 'analytics,', 'unix,', 'windows,', 'codeigniter,', 'it', 'skills', 'details', 'jquery']"
12,12,"['c,c++,java,html,css,php,javascript,jquery,ajax.', 'it', 'skills', 'details', 'core', 'php,web', 'development,zend', 'framework,java', 'servlets,web', 'technologies,advanced', 'java,core', 'java,asp.net,asp,mysql']"
13,13,"['aws,nodejs,angularjs,', 'android,', 'php,', 'mysql,', 'javascript,', 'ajax,', 'xml,', 'perl,', 'jquery,', 'json,', 'zend,', 'symfony,', 'yii,', 'html,', 'css,', 'oracle,lamp,', 'android', 'sdk,', 'cordova,', 'phonegap,', 'it', 'skills', 'details', 'ui', 'developmentweb', 'developer', '/', 'software', 'developer', '/', 'team', 'leader', 'with', 'close', 'to', '7', 'years', 'of', 'work', 'experienceajaxphpmysqljavascriptyiizendsymfonyoraclecordovaphonegapandroid', 'keyskills:', 'ruby', 'rails,', 'phonegap,', 'android,', 'postgresql,', 'html,', 'css,', 'javascript,', 'jquery,', 'json,,', 'cordova,', 'angularjs', 'keyskills:', 'javascript,', 'css3,', 'html5,', 'jquery,', 'json,', 'ajax,', 'zurb', 'foundation,', 'bootstrap,', 'flash', 'action', 'script', '3.0,', '2.0,', 'scorm', '...view', 'more', '1.2,', 'flex', '4.5', 'for', 'android', '-', '(interactive', 'level),', 'phonegap', 'for', 'web', 'based', 'mobile', 'applications', 'development,', 'php,', 'html,', 'html5', 'keyskills:', 'xamarin,xamarin', 'forms,ionic,hybrid', 'mobile', 'application', 'development,phonegap,cordova,ibm', '...view', 'more', 'worklight,angularjs,jquery,jquery', 'mobile,javascript,html5,css,asp.net,sql', 'server,c#,wcf,ado.net,json,ajax,android', 'sdk,ios,xcode,sqlite,xml,wcf', 'services,linq,', 'keyskills:', 'html', '5,', 'css', '3,', 'javascript,', 'jquery,', 'bootstrap,', 'angularjs,', 'html,', 'css,', 'ajax,', 'dom,', 'photoshop,', 'illustrator,', 'keyskills:', 'html5,', 'html,', 'css3,', 'css,', 'dreamweaver,', 'photoshop,coraldraw,', 'js,', 'jquery,', 'basic', 'angular', 'js,', 'flash', 'keyskills:', 'html5,', 'css3,', 'javascript,', 'jquery,', 'angular', 'js,', 'bootstrap,', 'css,', 'html', 'keyskills:', 'bootstrap,html5,css,javascripts,jquery,angularjs', 'etc', '.', 'project', 'management,vendor', 'development,business', '...view', 'more', 'development,technology', 'management,it', 'strategy', 'planning,karma,angularjs,grunt,html,node.js,css,ajax,web', 'technologies,jasmine,gulf,bower,npm,', 'javascript,', 'c#.net,', 'sql,', 'angular', 'js', 'keyskills:', 'angular', 'js,', 'java,', 'jsp,', 'css,', 'html,', 'jquery,', 'ext-js,', 'javascript,', 'spring', 'mvc,', 'pl-sql,', 'oracle', 'databases,', 'angular', '...view', 'more', 'js,', 'xml,', 'xsl,', 'json,', 'ajax,', 'core', 'java,', 'c,', 'c++', 'keyskills:', 'php,mysql,codeigniter,', 'symfony,', 'laravel,', 'dreamfactory,', 'angularjs,opencart']"
14,14,"['javascript,', 'php,', 'zend', 'framework,', 'backbone,angularjs,reactjs,', 'ionic,html5,', 'css,', 'c++,', 'python,', 'linux,', 'cloud', 'computing,', 'aws,', 'mysql,', 'elasticsearch,', 'nosql,sass', 'it', 'skills', 'details', 'core', 'php,codeigniter', 'framework,ionic', 'framework,yii,django,web', 'development,c,saas,wordpress,web', 'technologiesdevelopment', 'lead', 'with', 'more', 'than', 'four', 'years', 'of', 'experience', 'in', 'web,cloud', 'and', 'mobile', 'application', 'developmentskill', 'usedskill', 'usedskill', 'usedskill', 'usedjavascriptphpcsspythondjangowordpresscodeigniterjoomlabackbonejsangularjsionic', 'frameworkamazon', 'web', 'servicesreactjsnodejsc++', 'keyskills:', 'python,', 'django,', 'mysql,', 'unity3d,', 'aws', 'keyskills:', 'java,j2ee,spring-boot,hibernate,jpa,scala,', 'python,', 'kafka,', 'gobblin,', 'spark,', 'hadoop,', 'angularjs,', 'mongodb,', 'big', '...view', 'more', 'data,', 'machine', 'learning', 'keyskills:', 'html,', 'css,', 'javascript,', 'jquery,', 'wordpress,', 'php,', 'mysql,', 'css3,', 'angularjs', 'keyskills:', 'nodejs,mongodb,angularjs,stronloop', '...view', 'more', 'loopback,expressjs,php,codeigniter,mysql,javascript,jqyery,ajax,html,css,java(core', 'and', 'advance),c', 'language,wamp', 'and', 'xampp,elastic', 'search,', 'git', '+', 'bitbucket', 'keyskills:', 'programming', 'languages', ':', 'nodejs,', 'reactjs,', 'angularjs,', 'mongodb,', 'redis,', 'aws,java,', '...view', 'more', 'c,c++,php,dotnet,javascript,html,ajax,joomla', 'frameworkoperating', 'system', ':', 'windows', ',', 'linux', 'keyskills:', 'php,', 'python,', 'html,', 'css,', 'sql,', 'javascript,', 'ajax,', 'javascript,', 'jquery,', 'django,', 'mysql,', 'postgresql,', 'solr,', 'lucene,', '...view', 'more', 'search', 'engine,', 'kibana,', 'mongodb,', 'vagrant,', 'docker,', 'keyskills:', 'microsoft', 'technologies,', 'java,', 'angularjs,', 'node.js,', 'cloud', 'hosting,', 'linux', 'server', 'professional,', 'python,', 'django,', '...view', 'more', 'mongodb,', 'mysql,', 'hl7', 'keyskills:', 'nodejs,', 'mongodb,', 'angularjs,', 'react,', 'python,', 'product', 'management,', 'software', 'development,', 'web', 'applications,', '...view', 'more', 'angular,', 'express,', 'javascript,', 'html,', 'css', 'keyskills:', 'phonegap,', 'android,', 'lotus', 'notes,', 'lotus', 'script,', 'formula', 'language,', 'xpages,', 'javascript,', 'serverside', 'javascript,', '...view', 'more', 'java,', 'dojo', 'toolkit,', 'css,', 'html,', 'jquery,', 'rdbms,', 'c,', 'c++,', 'lamp,', 'php,', 'cakephp,', 'mysql,', 'linux,', 'angularjs,', 'bootstrap,nodejs,cloudera,', 'hadoop,,', 'corejava']"
15,15,"['code', 'optimisation', 'and', 'page', 'load', 'time', 'optimisation,', 'html/css', 'writeup', '(haml/hamlc/less),', 'php,', 'codeigniter(mvc', 'architechture),', 'javascript,', 'jquery', 'and', 'unit', 'testing,', 'writing', 'test', 'cases', '/', 'test', 'plans', 'it', 'skills', 'details', 'ajax,lamp,test', 'planning,ui', 'development,google', 'api,software', 'development,mysql,mvc', 'framework,software', 'engineering,mobile', 'developmenthighly', 'motivated', 'fullstack', 'developer', ',', 'worked', 'on', 'lamp', 'development', 'for', '99acres.com(2.5', 'yrs)', ',', 'now', 'work', 'as', 'a', 'frontend', 'ninja', 'for', 'housing.com', 'have', 'exposure', 'to', ':', 'lamp', 'stack', ',', 'js', ',', 'backbone', 'js', ',', 'react', 'js', ',', 'html/haml,', 'css/lessskill', 'usedskill', 'usedskill', 'usedphpcssjavascriptjqueryhtmlbackbone', 'jsreact', 'jsmocha', 'jschai', 'js', 'keyskills:', 'javascript,', 'emberjs,', 'react,', 'backbonejs,', 'mvc', 'architecture,', 'c,', 'c++,', 'clojure,', 'ruby,', 'git,', 'keyskills:', 'ui', 'development', '(html/css,javascript),backbone', 'js,', 'angular', ',', 'dot', 'template,jade', 'template,', 'express', 'js,', 'underscore', '...view', 'more', 'js,', 'asp.net,', 'microsoft', 'sql', 'server,', '.net', 'framework', 'with', 'c#,', 'javascript,coffeescript,', 'underscore', 'js,', 'backbone', 'js,', 'node', 'keyskills:', 'ruby', 'rails,', 'php,', 'python,', 'java,', 'machine', 'learning,', 'keyskills:', 'javascript,', 'java,', 'python,', 'php,c++', 'keyskills:', 'c,', 'c++,', 'html/css,', 'java,', 'spring,', 'rest,', 'dotnet,', 'mysql,', 'nosql,', 'cassandra,', 'couchbase,', 'amazon', 'web', 'services,', '...view', 'more', 'eucalyptus,', 'cloudstack,', 'stackato,', 'hadoop,', 'ruby', 'rails', 'keyskills:', 'oracle,java,struts2,spring,unix,pl/sql,j2ee,shell', 'script,', 'ruby', 'rails,', 'postgresql,', 'redis,', 'aws,', 'keyskills:', 'javascript,', 'node.js,', 'backbone.js,', 'react.js,', 'html,', 'css3,', 'sass,', 'ruby', 'on', 'rails,', 'mongodb,', 'postgresql,', '...view', 'more', 'backbone.js,', 'react.js,', 'css', 'keyskills:', 'algorithms,data-structures,operating', 'systems,ruby,go,javascript,python,ruby', 'rails,c++']"
16,16,"['html5,css3,javascript,dreamweaver,photoshop,illustrator,html', 'it', 'skills', 'details', 'jquery,dhtml,web', 'designingi', 'have', 'strong', 'knowledge', 'of', 'html', '5,', 'css3,java', 'script,', 'j', 'query,', 'dreamweaver', 'photoshop.skill', 'usedhtml', 'keyskills:', 'html,html5,css,javascript,jquery,web', 'designing,photoshop,bootstrap,', 'wordpress,', 'keyskills:', 'html/5,', 'css2/3,jquery,bootstrap,', 'less', 'basic', 'javascript,,', 'bootsrap', 'keyskills:', 'html,', 'html5,', 'css,', 'css3,', 'javascript,', 'photoshop,', 'jquery,', 'responsive', 'design,', 'bootstrap,', 'dreamweaver,', 'wordpress,,', '...view', 'more', 'adobe', 'photoshop', 'keyskills:', 'html,html5,css,css3,bootstrap,less,jquery,dreamweaver,wordpress,photoshop,ms-office,corel', '...view', 'more', 'draw,illustrator,basic', 'javascript', 'keyskills:', 'html,html5,css,css3,java', 'script,jquery,responsive', 'design', 'keyskills:', 'javascript(beginner),bootstrap,html,html5,css,css3,dreamweaver,sublime,photoshop,html', 'designer', 'keyskills:', 'web', 'designing,html,photoshop,css,html', 'developer,ui', 'designer,ui', 'developer,web', 'developer,dreamweaver', 'keyskills:', 'ui', 'developer,', 'web', 'designer,', 'html,', 'html5,', 'css,', 'css3,', 'photoshop,', 'java', 'script,', 'bootstrap,', 'jquery', 'keyskills:', 'web', 'designing,html,photoshop,css,illustrator,graphics,user', 'interface', 'designing,logo', 'design,dreamweaver,web', '...view', 'more', 'development,javascript,jquery,cs3', 'keyskills:', 'backend,bpo,data', 'entry,domestic,computer', 'operating,csa']"
17,17,"['core', 'php,codeigniter,cake', 'php', ',yii', 'framework', ',wordpress', ',webservices,mysql,jquery,json,javascript,angularjs,html,dreamview,oops', 'it', 'skills', 'details', 'ajax,codeigniter', 'framework,cakephp,web', 'development']"
18,18,"['key', 'account', 'management,mis', 'and', 'reporting,pipeline', 'management.,corporate', 'sales,large', 'account', 'management,business', 'development', 'corporate', 'business', 'development,corporate', 'marketing,solution', 'selling,team', 'management,strategic', 'account', 'management,channel', 'sales', 'management,account', 'relationship', 'management,key', 'accounts,media', 'sales,concept', 'selling']"
19,19,"['senior', 'sales', 'officer,', 'sales', 'exec./officer,sales,key', 'account', 'management,branding,content', 'development,brand', 'awareness,lead', 'generation,marketing,after', 'sales', 'support,client', 'relationship', 'mgmt,product', 'training,promotional', 'strategies', 'strategic', 'marketing', 'planning,business', 'development,sales', 'management,strategic', 'sales', 'planning,key', 'accounts,business', 'alliances,sales', 'development,product', 'sales,sales', 'lead', 'generation,market', 'planning']"
20,20,"['php', 'mysql,', 'php,', 'wordpress,', 'codeigniter,', 'yii,', 'html,', 'css,', 'java', 'script', 'it', 'skills', 'details', 'codeigniter', 'framework,core', 'java,javascript,magento,c++,web', 'technologies,software', 'developmentsoftware', 'engineer', 'and', 'php', 'developer', 'with', '4', 'year', 'experience', 'with', 'yii,', 'codeigniter,', 'wordpressphpyiicodeingniter', 'keyskills:', 'php,', 'mysql,', 'oop,', 'redis,', 'mongodb,', 'javascript,', 'ajax,', 'jquery,', 'json,', 'facebook', 'api,', 'codeigniter,', 'html,', 'css,', 'smarty,', '...view', 'more', 'wordpress,', 'joomla,', 'opencart,', 'magento,', 'boonex', 'dolphin,', '.net,', 'c#,', 'zend', 'framework,', 'laravel', 'framework,', 'lumen,', 'sql', 'server,', 'angular.js', 'keyskills:', 'cakephp,core', 'php,jquery,mysql,ubuntu', 'linux,html,web', 'services,api,css,client', 'handling,process', '...view', 'more', 'definition,process', 'development,erp', 'functional,', 'javascript,', 'apache', 'web', 'server', 'keyskills:', 'html,', 'css,php,', 'mysql,wordpress,', 'cakephp,', 'java', 'script,', 'jquery,', 'ajax', 'keyskills:', 'web', 'development,', 'php,', 'mysql,', 'javascript,', 'html,', 'codeigniter', 'framework,', 'yii', 'framework,', 'core', 'php,', 'keyskills:', 'codeigniter,', 'php', '5.3.23,wordpress,', 'magento', ',html,', 'mysql,', 'css3', ',', 'hadoop,', 'pig,', 'hbase,', 'nosql,', 'hive,', 'sqoop,', 'flume', 'keyskills:', 'php,', 'mysql,', 'ajax,', 'javascript', ',html,zend,', 'wordpress,', 'laravel,solr,redis', 'keyskills:', 'core', 'php,', 'codeigniter,', 'laravel,', 'symfony,', 'zend', 'framework,phalcon,', 'wordpress,angularjs,', 'jquery,', 'servlets,', 'jsp,', '...view', 'more', 'struts,', 'jdbc,', 'apache', 'solr', ',', 'angularjs,', 'nodejs,', 'eclipse', 'ide,', 'netbeans', 'keyskills:', 'php,', 'mysql,', 'ajax,', 'jquery,', 'javascript,', 'html,', 'css,', 'html5,', 'css5', 'keyskills:', 'php,', 'mysql,', 'jquery,', 'ajax,', 'javascript,', 'html5,', 'yii', 'framework,', 'mvc,', 'oops,', 'bootstrap,', 'redis,', 'pjax,', 'codeigniter', '...view', 'more', 'framework,', 'html', '5', 'keyskills:', 'php', '5,mysql,codeigniter', 'framwork,html,smarty,java', 'scrip,jquery,ajax,json,curl,redis,', 'javascript']"
